pixel,wavelength,10%_Trans,10%_Int,20%_Trans,20%_Int,30%_Trans,30%_Int,FBH_Trans,FBH_Int,FBP_Trans,FBP_Int,RW_Trans,RW_Int,BW_Trans,BW_Int,YW_Trans,YW_Int,,10%_Trans,10%_Int,20%_Trans,20%_Int,30%_Trans,30%_Int,FBH_Trans,FBH_Int,FBP_Trans,FBP_Int,RW_Trans,RW_Int,BW_Trans,BW_Int,YW_Trans,YW_Int
,,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70
48,48,2.3355908,0.28684795,0.39704612,0.029248003,0.042016808,0.0016,0.17784879,0.010688,0.065648854,0.005504,0.08717105,0.006784,0.09814324,0.009472,0.19310348,0.014336002,,0.52794045,1.4304003,0.5352696,1.4304003,1.0001493,1.4304003,0.84155077,2.300544,0.6218769,1.4411093,0.9963751,1.4248749,0.9974336,1.426112,0.9947943,1.4227841
49,49,2.4556217,0.29216003,0.4001736,0.029504001,0.04414262,0.001664,0.198146,0.010944,0.06528417,0.00544,0.08985024,0.006912,0.10973084,0.010175999,0.18093556,0.013119999,,0.527957,1.4304003,0.53394824,1.4304003,1.0000447,1.4303148,0.8485471,2.3192532,0.6244706,1.4440958,0.9950625,1.4230827,0.9967624,1.4252374,0.9972852,1.4262402
50,50,2.617264,0.30854404,0.43503287,0.033856,0.044094488,0.001792,0.21122114,0.012288,0.07818317,0.00672,0.09374999,0.007487999,0.123260446,0.011903999,0.20292349,0.015104,,0.528319,1.4304003,0.5322359,1.4304003,0.9998807,1.4302294,0.8567026,2.3429332,0.6277227,1.4466345,0.99324244,1.4204587,0.9959717,1.4241707,0.99986583,1.4296962
51,51,2.8077583,0.315008,0.4461028,0.034431998,0.044753086,0.001856,0.23137695,0.013119999,0.0850368,0.006656,0.09906857,0.007487999,0.13524318,0.012992,0.21743038,0.015488001,,0.52952886,1.4304003,0.53195715,1.4304003,0.99967194,1.4301441,0.8644653,2.3641813,0.63050824,1.4486827,0.99139297,1.4178348,0.9959569,1.4241707,1.0004029,1.4304003
52,52,3.0297544,0.299776,0.45676687,0.031103998,0.048695646,0.001792,0.22697794,0.0112,0.0885947,0.005568,0.08624031,0.005696,0.13585746,0.011712,0.22860128,0.014016002,,0.52967954,1.4304003,0.53239644,1.4304003,0.99947816,1.4300588,0.8693592,2.3796053,0.6318679,1.4509438,0.9908858,1.4171307,0.9961211,1.4244268,1.0004926,1.4304003
53,53,3.1771057,0.282432,0.47180054,0.027840005,0.04892368,0.0016,0.22122571,0.009472,0.075030744,0.003904,0.072447866,0.004224,0.12540717,0.009856,0.2445783,0.012992,,0.52773255,1.4304003,0.53044635,1.4304003,0.99935895,1.4300588,0.868417,2.3822508,0.6302668,1.4523094,0.9905576,1.4166614,0.9970909,1.4258348,1.000612,1.4304003
54,54,3.3051496,0.27519998,0.4848486,0.025600003,0.037117906,0.001088,0.21962614,0.009023999,0.08345324,0.003712,0.06516588,0.00352,0.12396695,0.0096,0.25529101,0.012352,,0.52401245,1.4304003,0.5274171,1.4304003,0.9993143,1.4301441,0.8708215,2.396352,0.62576544,1.4522029,0.9928107,1.4200108,0.9981802,1.4275415,1.0003582,1.4299308
55,55,3.2008994,0.27328,0.4237288,0.022400001,0.04589372,0.001216,0.22719729,0.008767999,0.076285236,0.002944,0.056206085,0.003072,0.11726908,0.009343999,0.23933975,0.011136,,0.5192965,1.4304003,0.52271336,1.4304003,0.99928445,1.4302294,0.87513685,2.4187944,0.6197999,1.4547414,0.99485546,1.423296,0.99900067,1.4290559,0.99955237,1.428992
56,56,3.0288458,0.28224,0.38198403,0.02144,0.054669704,0.001536,0.22395024,0.009216,0.08580342,0.00352,0.05531915,0.003328,0.11839166,0.010176,0.22721435,0.011328,,0.5146134,1.4304003,0.5177567,1.4304003,0.99934417,1.4303573,0.8766782,2.4336214,0.61446816,1.4579839,0.9969437,1.42656,0.9992097,1.429696,0.99874675,1.4280534
57,57,2.8783612,0.301376,0.40970075,0.025408002,0.04474708,0.001472,0.22950824,0.010752003,0.0909091,0.004352001,0.05159475,0.00352,0.13561554,0.013184001,0.20851527,0.012224,,0.51141447,1.4304003,0.5139349,1.4304003,0.9997467,1.4305921,0.8768604,2.4421334,0.6107121,1.4606932,0.99718237,1.4268802,0.9993439,1.4301438,0.99764335,1.4268589
